event,value,timestamp
InterBeatInterval,1000,2024-06-28T12:03:19.149322
InterBeatInterval,1000,2024-06-28T12:03:19.174606
InterBeatInterval,284,2024-06-28T12:03:25.144420
InterBeatInterval,1000,2024-06-28T12:03:26.131862
MeanHrv,-0.5,2024-06-28T12:03:26.209103
InterBeatInterval,688,2024-06-28T12:03:27.151809
MeanHrv,1.2,2024-06-28T12:03:27.233126
InterBeatInterval,1025,2024-06-28T12:03:28.128323
MeanHrv,7.7,2024-06-28T12:03:28.207003
InterBeatInterval,876,2024-06-28T12:03:29.196030
MeanHrv,33.4,2024-06-28T12:03:29.281844
InterBeatInterval,860,2024-06-28T12:03:30.168586
InterBeatInterval,869,2024-06-28T12:03:31.153424
MeanHrv,50,2024-06-28T12:03:31.231786
InterBeatInterval,1488,2024-06-28T12:03:32.125399
InterBeatInterval,827,2024-06-28T12:03:32.153229
InterBeatInterval,827,2024-06-28T12:03:32.181218
MeanHrv,112.9,2024-06-28T12:03:32.259886
InterBeatInterval,334,2024-06-28T12:03:33.194004
